Char   Codepoint     Frequency
䳦      U+04CE6              1
塻      U+0587B              1
徦      U+05FA6              1
㬃      U+03B03              1
㷀      U+03DC0              1
嘧      U+05627              1
萮      U+0842E              1
䤣      U+04923              1
熋      U+0718B              1
鱯      U+09C6F              1
砀      U+07800              1
烿      U+070FF              1
鵛      U+09D5B              1
嬚      U+05B1A              1
㚫      U+036AB              1
撔      U+06494              1
㚤      U+036A4              1
鈠      U+09220              1
礵      U+07935              1
螁      U+08781              1
㪕      U+03A95              1
芶      U+082B6              1
䆍      U+0418D              1
纀      U+07E80              1
㱧      U+03C67              1
姃      U+059C3              1
㣯      U+038EF              1
㽇      U+03F47              1
䁼      U+0407C              1
㡑      U+03851              1
跴      U+08DF4              1
崁      U+05D01              1
㻃      U+03EC3              1
䳘      U+04CD8              1
緟      U+07DDF              1
餎      U+0990E              1
㟈      U+037C8              1
㞻      U+037BB              1
㡹      U+03879              1
脒      U+08112              1
篕      U+07BD5              1
謊      U+08B0A              1
㸯      U+03E2F              1
㙓      U+03653              1
𠂼      U+200BC              1
𦑶      U+26476              1
蒛      U+0849B              1
㼨      U+03F28              1
㝥      U+03765              1
㾋      U+03F8B              1
䌘      U+04318              1
瘑      U+07611              1
卆      U+05346              1
輏      U+08F0F              1
㮙      U+03B99              1
禟      U+0799F              1
暴      U+0FA06              1
鯵      U+09BF5              1
䄯      U+0412F              1
㴿      U+03D3F              1
㡳      U+03873              1
鿧      U+09FE7              1
㹋      U+03E4B              1
鲬      U+09CAC              1
鏍      U+093CD              1
妚      U+0599A              1
䊸      U+042B8              1
䴸      U+04D38              1
䬆      U+04B06              1
䰅      U+04C05              1
迡      U+08FE1              1
麬      U+09EAC              1
履      U+0F9DF              1
㳉      U+03CC9              1
䩧      U+04A67              1
㵦      U+03D66              1
䬼      U+04B3C              1
㾔      U+03F94              1
㽷      U+03F77              1
䴅      U+04D05              1
鑬      U+0946C              1
㾢      U+03FA2              1
焓      U+07113              1
衐      U+08850              1
蛂      U+086C2              1
㰺      U+03C3A              1
㖙      U+03599              1
䳻      U+04CFB              1
䎓      U+04393              1
奄      U+0FA7E              1
鱈      U+09C48              1
鲋      U+09C8B              1
響      U+0FA69              1
蒽      U+084BD              1
壏      U+058CF              1
濽      U+06FFD              1
眳      U+07733              1
藸      U+085F8              1
㯎      U+03BCE              1
雂      U+096C2              1
䞠      U+047A0              1
逫      U+0902B              1
锃      U+09503              1
馇      U+09987              1
㡩      U+03869              1
䝼      U+0477C              1
醴      U+0F9B7              1
㑳      U+03473              1
藱      U+085F1              1
㮟      U+03B9F              1
䙓      U+04653              1
㵇      U+03D47              1
孉      U+05B49              1
湨      U+06E68              1
鲳      U+09CB3              1
萢      U+08422              1
㻷      U+03EF7              1
鈙      U+09219              1
奲      U+05972              1
㢳      U+038B3              1
㚨      U+036A8              1
㽠      U+03F60              1
䚩      U+046A9              1
𫟱      U+2B7F1              1
橿      U+06A7F              1
橳      U+06A73              1
䔚      U+0451A              1
䄺      U+0413A              1
猏      U+0730F              1
䴈      U+04D08              1
誎      U+08A8E              1
汣      U+06C63              1
䨞      U+04A1E              1
㯭      U+03BED              1
鴸      U+09D38              1
痉      U+075C9              1
𫽈      U+2BF48              1
㵉      U+03D49              1
榌      U+0698C              1
鎴      U+093B4              1
匧      U+05327              1
㜧      U+03727              1
叧      U+053E7              1
錂      U+09302              1
彵      U+05F75              1
濥      U+06FE5              1
偗      U+05057              1
篫      U+07BEB              1
颽      U+098BD              1
纃      U+07E83              1
瓧      U+074E7              1
㿇      U+03FC7              1
袶      U+088B6              1
燓      U+071D3              1
䌮      U+0432E              1
滑      U+0F904              1
㪒      U+03A92              1
駠      U+099E0              1
䕨      U+04568              1
塀      U+0FA39              1
䣇      U+048C7              1
堸      U+05838              1
䔅      U+04505              1
攱      U+06531              1
難      U+0FA68              1
蟃      U+087C3              1
㢿      U+038BF              1
揯      U+063EF              1
㴨      U+03D28              1
䫋      U+04ACB              1
蛢      U+086E2              1
䇯      U+041EF              1
栬      U+0682C              1
朲      U+06732              1
㓒      U+034D2              1
緂      U+07DC2              1
䓰      U+044F0              1
翄      U+07FC4              1
凌      U+0F955              1
䛊      U+046CA              1
㪟      U+03A9F              1
褮      U+0892E              1
䮀      U+04B80              1
榊      U+0698A              1
𩿜      U+29FDC              1
燨      U+071E8              1
䯄      U+04BC4              1
惿      U+060FF              1
榡      U+069A1              1
䁉      U+04049              1
㲟      U+03C9F              1
睶      U+07776              1
䭕      U+04B55              1
㤎      U+0390E              1
㾍      U+03F8D              1
䴝      U+04D1D              1
㒒      U+03492              1
㶍      U+03D8D              1
䎝      U+0439D              1
鷺      U+0F93A              1
倊      U+0500A              1
蚼      U+086BC              1
謹      U+0FA63              1
諾      U+0FABD              1
轢      U+0F98D              1
㢐      U+03890              1
籅      U+07C45              1
仐      U+04ED0              1
㢑      U+03891              1
㘴      U+03634              1
䇰      U+041F0              1
䛚      U+046DA              1
朩      U+06729              1
𢷐      U+22DD0              1
㜦      U+03726              1
鼞      U+09F1E              1
䈙      U+04219              1
㨩      U+03A29              1
㨇      U+03A07              1
